noise_var,sharpness,entropy,mean_intensity,std_intensity,image,scale,noise_std
128.94631199084324,5.954725266,7.071648539231535,0.543982208,0.152216375,00006199_010.png,1,0.005
579.1775488896375,18.704257011413574,6.823825307286205,0.4352555274963379,0.1231507807970047,00006199_010.png,0.8,0.02
2087.355663091023,36.34957027435303,6.593357873886295,0.32663631439208984,0.098866768,00006199_010.png,0.6,0.04
61.793052216376964,5.742437362670898,7.469460692023962,0.6670772433280945,0.21360193192958832,00003503_000.png,1,0.005
539.5713049733739,18.47215175628662,7.253194310248218,0.5336698293685913,0.1719442903995514,00003503_000.png,0.8,0.02
2087.6199798936573,36.43365669250488,7.006021621916968,0.4003138244152069,0.13399451971054077,00003503_000.png,0.6,0.04
115.68151537944505,7.865545272827148,7.647205501656574,0.4524165391921997,0.28414639830589294,00017423_004.png,1,0.005
537.8694448088272,18.196528434753418,7.435339395396207,0.36251986026763916,0.227118582,00017423_004.png,0.8,0.02
1938.783337,34.698875427246094,7.099916418151661,0.27313077449798584,0.17225614190101624,00017423_004.png,0.6,0.04
84.01271219177578,6.691560745239258,7.294771520826387,0.40695247054100037,0.2857997417449951,00022830_001.png,1,0.005
492.8636958217248,17.240577697753906,7.218084010888664,0.3267214298248291,0.22778573632240295,00022830_001.png,0.8,0.02
1828.8893952347537,33.33406639099121,6.937085180614112,0.24687029421329498,0.17176581919193268,00022830_001.png,0.6,0.04
111.95533136370067,7.751569747924805,7.766653839,0.506180465,0.2323758900165558,00016794_000.png,1,0.005
564.6630043,18.827102661132812,7.477459548440548,0.40503567457199097,0.1866537630558014,00016794_000.png,0.8,0.02
2061.2947478117267,36.12239360809326,7.137421383,0.3041096031665802,0.14404983818531036,00016794_000.png,0.6,0.04
116.58904395289937,5.770145416259766,7.295937336690672,0.4051368832588196,0.24022887647151947,00010790_035.png,1,0.005
526.8118188443914,17.59136962890625,7.091346787900488,0.3249656558036804,0.19174444675445557,00010790_035.png,0.8,0.02
1885.5589700024425,34.025529861450195,6.7959116501770644,0.24536818265914917,0.14545957744121552,00010790_035.png,0.6,0.04
199.10527428424393,6.347711563110352,7.228985536943625,0.420301229,0.25412699580192566,00015606_039.png,1,0.005
584.9266231795773,18.074705123901367,6.998426495345855,0.3370039463043213,0.2030126005411148,00015606_039.png,0.8,0.02
1899.6489053090472,34.153422355651855,6.701741034589645,0.2544444799423218,0.1535855382680893,00015606_039.png,0.6,0.04
57.35240303255613,5.915139198303223,7.286562223695788,0.62946856,0.17635460197925568,00005448_001.png,1,0.005
536.1340700810315,18.47138500213623,7.026762282405756,0.5035927891731262,0.1423819661140442,00005448_001.png,0.8,0.02
